"Transaction ID"	"Account ID"	"Symbol ID"	"ISIN"	"Operation type"	"When"	"Sum"	"Asset"	"EUR equivalent"	"Comment"	"UUID"	"Parent UUID"
"355991037"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-17 03:00:24"	"-0.64"	"EUR"	"-0.64"	"-9172.68 EUR (cash -9172.68 P/L 0.00 margin 0.00) from 2022-05-18 till 2022-05-19"	"323d2457-cf20-46f4-a7b2-4940460c3f10"	"None"
"355644996"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-16 03:00:28"	"-0.1"	"USD"	"-0.1"	"-982.66 USD (cash -982.66 P/L 0.00 margin 0.00) from 2022-05-17 till 2022-05-18"	"4e1e0ccb-9a1f-4327-9e09-a05323d6424a"	"None"
"355644995"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-16 03:00:28"	"-0.64"	"EUR"	"-0.64"	"-9172.04 EUR (cash -9172.04 P/L 0.00 margin 0.00) from 2022-05-17 till 2022-05-18"	"7b511541-ff4b-4eea-b443-eb530c9bfc10"	"None"
"355583835"	"UYS2073.001"	"DFAI.ARCA"	"None"	"COMMISSION"	"2022-05-13 18:43:28"	"-0.16"	"USD"	"-0.15"	"None"	"ca91dafa-49b4-4dba-85cb-f8abc4034908"	"None"
"355583834"	"UYS2073.001"	"DFAI.ARCA"	"None"	"TRADE"	"2022-05-13 18:43:28"	"-204.8"	"USD"	"-196.94"	"None"	"c9663a3f-478e-4325-848d-2c75dd1e8f5a"	"None"
"355583833"	"UYS2073.001"	"DFAI.ARCA"	"US25434V2034"	"TRADE"	"2022-05-13 18:43:28"	"8"	"DFAI.ARCA"	"196.94"	"None"	"43c5a14e-9bf6-491b-8f71-406d6d87fd71"	"None"
"355583284"	"UYS2073.001"	"VEU.ARCA"	"None"	"COMMISSION"	"2022-05-13 18:40:17"	"-0.02"	"USD"	"-0.02"	"None"	"d43b186d-aa4e-4da5-a6c0-ae3f8ac28dec"	"None"
"355583283"	"UYS2073.001"	"VEU.ARCA"	"None"	"TRADE"	"2022-05-13 18:40:17"	"-52.0"	"USD"	"-50.0"	"None"	"50934317-46ec-4ead-8c05-b91f3f6837d0"	"None"
"355583282"	"UYS2073.001"	"VEU.ARCA"	"US9220427754"	"TRADE"	"2022-05-13 18:40:17"	"1"	"VEU.ARCA"	"50.0"	"None"	"2f526c7d-5009-4ee3-8670-6b3f301cde33"	"None"
"355583041"	"UYS2073.001"	"IXUS.NASDAQ"	"None"	"COMMISSION"	"2022-05-13 18:39:18"	"-0.06"	"USD"	"-0.06"	"None"	"68ba2145-51d4-427d-9581-73c8bf830a2a"	"None"
"355583040"	"UYS2073.001"	"IXUS.NASDAQ"	"None"	"TRADE"	"2022-05-13 18:39:18"	"-179.07"	"USD"	"-172.2"	"None"	"10f2c03a-a3f4-433f-b7bd-471a710423b0"	"None"
"355583039"	"UYS2073.001"	"IXUS.NASDAQ"	"US46432F8344"	"TRADE"	"2022-05-13 18:39:18"	"3"	"IXUS.NASDAQ"	"172.2"	"None"	"07550bfb-1703-493a-a528-0956d7e1e47c"	"None"
"355582922"	"UYS2073.001"	"DFAE.ARCA"	"None"	"COMMISSION"	"2022-05-13 18:38:20"	"-0.02"	"USD"	"-0.02"	"None"	"fa66a6dc-1c9f-4b55-91bd-3352d71007f4"	"None"
"355582919"	"UYS2073.001"	"DFAE.ARCA"	"None"	"TRADE"	"2022-05-13 18:38:20"	"-23.57"	"USD"	"-22.67"	"None"	"e5a1eaec-dcb3-450a-8523-bf0bd2124c04"	"None"
"355582916"	"UYS2073.001"	"DFAE.ARCA"	"US25434V3024"	"TRADE"	"2022-05-13 18:38:20"	"1"	"DFAE.ARCA"	"22.67"	"None"	"e9054d7b-f454-4103-8656-e8a6f444c657"	"None"
"355582628"	"UYS2073.001"	"DFAX.ARCA"	"None"	"TRADE"	"2022-05-13 18:37:01"	"-428.83"	"USD"	"-412.42"	"None"	"2f3ecbf9-f0ac-4650-84fd-d931722c7d0c"	"None"
"355582627"	"UYS2073.001"	"DFAX.ARCA"	"US25434V8809"	"TRADE"	"2022-05-13 18:37:01"	"19"	"DFAX.ARCA"	"412.42"	"None"	"fa577137-4325-401e-8fac-697b7e960436"	"None"
"355582629"	"UYS2073.001"	"DFAX.ARCA"	"None"	"COMMISSION"	"2022-05-13 18:37:01"	"-0.38"	"USD"	"-0.37"	"None"	"d45e3434-4246-449f-9f9e-ef053495c4fe"	"None"
"355582135"	"UYS2073.001"	"IJS.ARCA"	"None"	"COMMISSION"	"2022-05-13 18:34:52"	"-0.02"	"USD"	"-0.02"	"None"	"b4461788-6a3e-4826-9e39-93ce9e6cc87f"	"None"
"355582134"	"UYS2073.001"	"IJS.ARCA"	"None"	"TRADE"	"2022-05-13 18:34:52"	"-93.73"	"USD"	"-90.12"	"None"	"98d52f90-6976-4ee8-a7fb-d0a4f0735437"	"None"
